Timestamp,Sensor,Temperature
2024-09-10 13:21:28,extruder,24.62
2024-09-10 13:21:28,extruder1,93.74
2024-09-10 13:21:28,extruder2,22.77
2024-09-10 13:21:28,heater_bed,25.2
2024-09-10 13:21:29,extruder,24.65
2024-09-10 13:21:29,extruder1,95.23
2024-09-10 13:21:29,extruder2,22.76
2024-09-10 13:21:29,heater_bed,25.2
2024-09-10 13:21:30,extruder,24.64
2024-09-10 13:21:30,extruder1,95.83
2024-09-10 13:21:30,extruder2,22.76
2024-09-10 13:21:30,heater_bed,25.19
2024-09-10 13:21:31,extruder,24.64
2024-09-10 13:21:31,extruder1,95.98
2024-09-10 13:21:31,extruder2,22.75
2024-09-10 13:21:31,heater_bed,25.18
2024-09-10 13:21:33,extruder,24.63
2024-09-10 13:21:33,extruder1,97.29
2024-09-10 13:21:33,extruder2,22.77
2024-09-10 13:21:33,heater_bed,25.18
2024-09-10 13:21:34,extruder,24.64
2024-09-10 13:21:34,extruder1,97.8
2024-09-10 13:21:34,extruder2,22.73
2024-09-10 13:21:34,heater_bed,25.18
2024-09-10 13:21:35,extruder,24.65
2024-09-10 13:21:35,extruder1,98.08
2024-09-10 13:21:35,extruder2,22.74
2024-09-10 13:21:35,heater_bed,25.2
2024-09-10 13:21:36,extruder,24.66
2024-09-10 13:21:36,extruder1,98.96
2024-09-10 13:21:36,extruder2,22.73
2024-09-10 13:21:36,heater_bed,25.2
2024-09-10 13:21:38,extruder,24.64
2024-09-10 13:21:38,extruder1,99.49
2024-09-10 13:21:38,extruder2,22.74
2024-09-10 13:21:38,heater_bed,25.18
2024-09-10 13:21:39,extruder,24.64
2024-09-10 13:21:39,extruder1,99.48
2024-09-10 13:21:39,extruder2,22.74
2024-09-10 13:21:39,heater_bed,25.18
2024-09-10 13:21:40,extruder,24.63
2024-09-10 13:21:40,extruder1,100.11
2024-09-10 13:21:40,extruder2,22.74
2024-09-10 13:21:40,heater_bed,25.19
2024-09-10 13:21:41,extruder,24.63
2024-09-10 13:21:41,extruder1,100.39
2024-09-10 13:21:41,extruder2,22.72
2024-09-10 13:21:41,heater_bed,25.19
2024-09-10 13:21:43,extruder,24.63
2024-09-10 13:21:43,extruder1,100.42
2024-09-10 13:21:43,extruder2,22.71
2024-09-10 13:21:43,heater_bed,25.18
2024-09-10 13:21:44,extruder,24.62
2024-09-10 13:21:44,extruder1,100.73
2024-09-10 13:21:44,extruder2,22.73
2024-09-10 13:21:44,heater_bed,25.19
2024-09-10 13:21:45,extruder,24.63
2024-09-10 13:21:45,extruder1,100.86
2024-09-10 13:21:45,extruder2,22.72
2024-09-10 13:21:45,heater_bed,25.2
2024-09-10 13:21:46,extruder,24.64
2024-09-10 13:21:46,extruder1,100.76
2024-09-10 13:21:46,extruder2,22.74
2024-09-10 13:21:46,heater_bed,25.2
2024-09-10 13:21:48,extruder,24.64
2024-09-10 13:21:48,extruder1,101.02
2024-09-10 13:21:48,extruder2,22.76
2024-09-10 13:21:48,heater_bed,25.2
2024-09-10 13:21:49,extruder,24.61
2024-09-10 13:21:49,extruder1,101.76
2024-09-10 13:21:49,extruder2,22.75
2024-09-10 13:21:49,heater_bed,25.19
2024-09-10 13:21:50,extruder,24.63
2024-09-10 13:21:50,extruder1,101.86
2024-09-10 13:21:50,extruder2,22.75
2024-09-10 13:21:50,heater_bed,25.19
2024-09-10 13:21:51,extruder,24.6
2024-09-10 13:21:51,extruder1,101.67
2024-09-10 13:21:51,extruder2,22.74
2024-09-10 13:21:51,heater_bed,25.18
2024-09-10 13:21:53,extruder,24.63
2024-09-10 13:21:53,extruder1,102.55
2024-09-10 13:21:53,extruder2,22.73
2024-09-10 13:21:53,heater_bed,25.17
2024-09-10 13:21:54,extruder,24.61
2024-09-10 13:21:54,extruder1,102.5
2024-09-10 13:21:54,extruder2,22.76
2024-09-10 13:21:54,heater_bed,25.17
2024-09-10 13:21:55,extruder,24.62
2024-09-10 13:21:55,extruder1,102.61
2024-09-10 13:21:55,extruder2,22.74
2024-09-10 13:21:55,heater_bed,25.17
2024-09-10 13:21:57,extruder,24.58
2024-09-10 13:21:57,extruder1,103.14
2024-09-10 13:21:57,extruder2,22.75
2024-09-10 13:21:57,heater_bed,25.18
2024-09-10 13:21:58,extruder,24.58
2024-09-10 13:21:58,extruder1,103.0
2024-09-10 13:21:58,extruder2,22.75
2024-09-10 13:21:58,heater_bed,25.17
2024-09-10 13:21:59,extruder,24.61
2024-09-10 13:21:59,extruder1,103.16
2024-09-10 13:21:59,extruder2,22.75
2024-09-10 13:21:59,heater_bed,25.18
2024-09-10 13:22:00,extruder,24.62
2024-09-10 13:22:00,extruder1,103.43
2024-09-10 13:22:00,extruder2,22.74
2024-09-10 13:22:00,heater_bed,25.18
2024-09-10 13:22:02,extruder,24.6
2024-09-10 13:22:02,extruder1,103.17
2024-09-10 13:22:02,extruder2,22.74
2024-09-10 13:22:02,heater_bed,25.17
2024-09-10 13:22:03,extruder,24.61
2024-09-10 13:22:03,extruder1,103.32
2024-09-10 13:22:03,extruder2,22.75
2024-09-10 13:22:03,heater_bed,25.17
2024-09-10 13:22:04,extruder,24.62
2024-09-10 13:22:04,extruder1,103.61
2024-09-10 13:22:04,extruder2,22.75
2024-09-10 13:22:04,heater_bed,25.19
2024-09-10 13:22:05,extruder,24.62
2024-09-10 13:22:05,extruder1,103.6
2024-09-10 13:22:05,extruder2,22.75
2024-09-10 13:22:05,heater_bed,25.19
2024-09-10 13:22:07,extruder,24.61
2024-09-10 13:22:07,extruder1,103.36
2024-09-10 13:22:07,extruder2,22.75
2024-09-10 13:22:07,heater_bed,25.19
2024-09-10 13:22:08,extruder,24.62
2024-09-10 13:22:08,extruder1,103.86
2024-09-10 13:22:08,extruder2,22.74
2024-09-10 13:22:08,heater_bed,25.17
2024-09-10 13:22:09,extruder,24.63
2024-09-10 13:22:09,extruder1,103.83
2024-09-10 13:22:09,extruder2,22.77
2024-09-10 13:22:09,heater_bed,25.17
2024-09-10 13:22:10,extruder,24.62
2024-09-10 13:22:10,extruder1,103.62
2024-09-10 13:22:10,extruder2,22.77
2024-09-10 13:22:10,heater_bed,25.15
2024-09-10 13:22:12,extruder,24.62
2024-09-10 13:22:12,extruder1,104.05
2024-09-10 13:22:12,extruder2,22.76
2024-09-10 13:22:12,heater_bed,25.19
2024-09-10 13:22:13,extruder,24.64
2024-09-10 13:22:13,extruder1,104.17
2024-09-10 13:22:13,extruder2,22.73
2024-09-10 13:22:13,heater_bed,25.18
2024-09-10 13:22:14,extruder,24.63
2024-09-10 13:22:14,extruder1,103.92
2024-09-10 13:22:14,extruder2,22.74
2024-09-10 13:22:14,heater_bed,25.17
2024-09-10 13:22:15,extruder,24.61
2024-09-10 13:22:15,extruder1,103.8
2024-09-10 13:22:15,extruder2,22.75
2024-09-10 13:22:15,heater_bed,25.19
2024-09-10 13:22:17,extruder,24.61
2024-09-10 13:22:17,extruder1,104.04
2024-09-10 13:22:17,extruder2,22.74
2024-09-10 13:22:17,heater_bed,25.18
2024-09-10 13:22:18,extruder,24.61
2024-09-10 13:22:18,extruder1,104.0
2024-09-10 13:22:18,extruder2,22.75
2024-09-10 13:22:18,heater_bed,25.19
2024-09-10 13:22:19,extruder,24.61
2024-09-10 13:22:19,extruder1,103.76
2024-09-10 13:22:19,extruder2,22.73
2024-09-10 13:22:19,heater_bed,25.18
2024-09-10 13:22:20,extruder,24.63
2024-09-10 13:22:20,extruder1,104.11
2024-09-10 13:22:20,extruder2,22.73
2024-09-10 13:22:20,heater_bed,25.18
2024-09-10 13:22:22,extruder,24.6
2024-09-10 13:22:22,extruder1,104.11
2024-09-10 13:22:22,extruder2,22.72
2024-09-10 13:22:22,heater_bed,25.17
2024-09-10 13:22:23,extruder,24.6
2024-09-10 13:22:23,extruder1,103.9
2024-09-10 13:22:23,extruder2,22.72
2024-09-10 13:22:23,heater_bed,25.17
2024-09-10 13:22:24,extruder,24.59
2024-09-10 13:22:24,extruder1,104.16
2024-09-10 13:22:24,extruder2,22.74
2024-09-10 13:22:24,heater_bed,25.18
2024-09-10 13:22:25,extruder,24.6
2024-09-10 13:22:25,extruder1,104.33
2024-09-10 13:22:25,extruder2,22.72
2024-09-10 13:22:25,heater_bed,25.18
2024-09-10 13:22:27,extruder,24.62
2024-09-10 13:22:27,extruder1,104.0
2024-09-10 13:22:27,extruder2,22.73
2024-09-10 13:22:27,heater_bed,25.18
2024-09-10 13:22:28,extruder,24.61
2024-09-10 13:22:28,extruder1,104.14
2024-09-10 13:22:28,extruder2,22.74
2024-09-10 13:22:28,heater_bed,25.17
2024-09-10 13:22:29,extruder,24.61
2024-09-10 13:22:29,extruder1,104.27
2024-09-10 13:22:29,extruder2,22.75
2024-09-10 13:22:29,heater_bed,25.17
2024-09-10 13:22:30,extruder,24.61
2024-09-10 13:22:30,extruder1,103.97
2024-09-10 13:22:30,extruder2,22.73
2024-09-10 13:22:30,heater_bed,25.14
2024-09-10 13:22:32,extruder,24.6
2024-09-10 13:22:32,extruder1,103.95
2024-09-10 13:22:32,extruder2,22.73
2024-09-10 13:22:32,heater_bed,25.15
2024-09-10 13:22:33,extruder,24.6
2024-09-10 13:22:33,extruder1,104.34
2024-09-10 13:22:33,extruder2,22.72
2024-09-10 13:22:33,heater_bed,25.15
2024-09-10 13:22:34,extruder,24.6
2024-09-10 13:22:34,extruder1,104.25
2024-09-10 13:22:34,extruder2,22.71
2024-09-10 13:22:34,heater_bed,25.14
2024-09-10 13:22:35,extruder,24.61
2024-09-10 13:22:35,extruder1,104.01
2024-09-10 13:22:35,extruder2,22.73
2024-09-10 13:22:35,heater_bed,25.14
2024-09-10 13:22:37,extruder,24.6
2024-09-10 13:22:37,extruder1,104.24
2024-09-10 13:22:37,extruder2,22.74
2024-09-10 13:22:37,heater_bed,25.16
2024-09-10 13:22:38,extruder,24.6
2024-09-10 13:22:38,extruder1,104.25
2024-09-10 13:22:38,extruder2,22.75
2024-09-10 13:22:38,heater_bed,25.15
2024-09-10 13:22:39,extruder,24.63
2024-09-10 13:22:39,extruder1,104.01
2024-09-10 13:22:39,extruder2,22.74
2024-09-10 13:22:39,heater_bed,25.16
2024-09-10 13:22:40,extruder,24.61
2024-09-10 13:22:40,extruder1,104.2
2024-09-10 13:22:40,extruder2,22.74
2024-09-10 13:22:40,heater_bed,25.16
2024-09-10 13:22:42,extruder,24.6
2024-09-10 13:22:42,extruder1,104.58
2024-09-10 13:22:42,extruder2,22.76
2024-09-10 13:22:42,heater_bed,25.16
2024-09-10 13:22:43,extruder,24.61
2024-09-10 13:22:43,extruder1,104.23
2024-09-10 13:22:43,extruder2,22.75
2024-09-10 13:22:43,heater_bed,25.18
2024-09-10 13:22:44,extruder,24.61
2024-09-10 13:22:44,extruder1,104.34
2024-09-10 13:22:44,extruder2,22.77
2024-09-10 13:22:44,heater_bed,25.16
2024-09-10 13:22:45,extruder,24.6
2024-09-10 13:22:45,extruder1,104.79
2024-09-10 13:22:45,extruder2,22.76
2024-09-10 13:22:45,heater_bed,25.16
2024-09-10 13:22:47,extruder,24.61
2024-09-10 13:22:47,extruder1,104.75
2024-09-10 13:22:47,extruder2,22.74
2024-09-10 13:22:47,heater_bed,25.14
2024-09-10 13:22:48,extruder,24.6
2024-09-10 13:22:48,extruder1,104.52
