Timestamp,Sensor,Temperature
2024-09-10 11:45:47,extruder,25.59
2024-09-10 11:45:47,extruder1,28.42
2024-09-10 11:45:47,extruder2,24.42
2024-09-10 11:45:47,heater_bed,25.39
2024-09-10 11:45:49,extruder,25.56
2024-09-10 11:45:49,extruder1,28.4
2024-09-10 11:45:49,extruder2,24.43
2024-09-10 11:45:49,heater_bed,25.39
2024-09-10 11:45:50,extruder,25.59
2024-09-10 11:45:50,extruder1,28.41
2024-09-10 11:45:50,extruder2,24.43
2024-09-10 11:45:50,heater_bed,25.43
2024-09-10 11:45:51,extruder,25.6
2024-09-10 11:45:51,extruder1,28.42
2024-09-10 11:45:51,extruder2,24.42
2024-09-10 11:45:51,heater_bed,25.42
2024-09-10 11:45:52,extruder,25.59
2024-09-10 11:45:52,extruder1,28.41
2024-09-10 11:45:52,extruder2,24.41
2024-09-10 11:45:52,heater_bed,25.39
2024-09-10 11:45:54,extruder,25.6
2024-09-10 11:45:54,extruder1,28.43
2024-09-10 11:45:54,extruder2,24.42
2024-09-10 11:45:54,heater_bed,25.41
2024-09-10 11:45:55,extruder,25.6
2024-09-10 11:45:55,extruder1,28.44
2024-09-10 11:45:55,extruder2,24.42
2024-09-10 11:45:55,heater_bed,25.41
2024-09-10 11:45:56,extruder,25.58
2024-09-10 11:45:56,extruder1,28.45
2024-09-10 11:45:56,extruder2,24.42
2024-09-10 11:45:56,heater_bed,25.42
2024-09-10 11:45:57,extruder,25.58
2024-09-10 11:45:57,extruder1,28.47
2024-09-10 11:45:57,extruder2,24.42
2024-09-10 11:45:57,heater_bed,25.41
2024-09-10 11:45:59,extruder,25.57
2024-09-10 11:45:59,extruder1,28.46
2024-09-10 11:45:59,extruder2,24.42
2024-09-10 11:45:59,heater_bed,25.42
2024-09-10 11:46:00,extruder,25.6
2024-09-10 11:46:00,extruder1,28.46
2024-09-10 11:46:00,extruder2,24.42
2024-09-10 11:46:00,heater_bed,25.4
2024-09-10 11:46:01,extruder,25.57
2024-09-10 11:46:01,extruder1,28.47
2024-09-10 11:46:01,extruder2,24.4
2024-09-10 11:46:01,heater_bed,25.41
2024-09-10 11:46:02,extruder,25.61
2024-09-10 11:46:02,extruder1,28.46
2024-09-10 11:46:02,extruder2,24.42
2024-09-10 11:46:02,heater_bed,25.39
2024-09-10 11:46:04,extruder,25.6
2024-09-10 11:46:04,extruder1,28.49
2024-09-10 11:46:04,extruder2,24.43
2024-09-10 11:46:04,heater_bed,25.4
2024-09-10 11:46:05,extruder,25.58
2024-09-10 11:46:05,extruder1,28.49
2024-09-10 11:46:05,extruder2,24.41
2024-09-10 11:46:05,heater_bed,25.39
2024-09-10 11:46:06,extruder,25.6
2024-09-10 11:46:06,extruder1,28.49
2024-09-10 11:46:06,extruder2,24.4
2024-09-10 11:46:06,heater_bed,25.43
2024-09-10 11:46:07,extruder,25.58
2024-09-10 11:46:07,extruder1,28.52
2024-09-10 11:46:07,extruder2,24.41
2024-09-10 11:46:07,heater_bed,25.42
2024-09-10 11:46:09,extruder,25.58
2024-09-10 11:46:09,extruder1,28.56
2024-09-10 11:46:09,extruder2,24.39
2024-09-10 11:46:09,heater_bed,25.44
2024-09-10 11:46:10,extruder,25.57
2024-09-10 11:46:10,extruder1,28.58
2024-09-10 11:46:10,extruder2,24.44
2024-09-10 11:46:10,heater_bed,25.45
2024-09-10 11:46:11,extruder,25.6
2024-09-10 11:46:11,extruder1,28.62
2024-09-10 11:46:11,extruder2,24.44
2024-09-10 11:46:11,heater_bed,25.44
2024-09-10 11:46:12,extruder,25.6
2024-09-10 11:46:12,extruder1,28.65
2024-09-10 11:46:12,extruder2,24.42
2024-09-10 11:46:12,heater_bed,25.42
2024-09-10 11:46:14,extruder,25.6
2024-09-10 11:46:14,extruder1,28.7
2024-09-10 11:46:14,extruder2,24.42
2024-09-10 11:46:14,heater_bed,25.42
2024-09-10 11:46:15,extruder,25.58
2024-09-10 11:46:15,extruder1,28.76
2024-09-10 11:46:15,extruder2,24.44
2024-09-10 11:46:15,heater_bed,25.41
2024-09-10 11:46:16,extruder,25.57
2024-09-10 11:46:16,extruder1,28.8
2024-09-10 11:46:16,extruder2,24.41
2024-09-10 11:46:16,heater_bed,25.41
2024-09-10 11:46:17,extruder,25.57
2024-09-10 11:46:17,extruder1,28.85
2024-09-10 11:46:17,extruder2,24.42
2024-09-10 11:46:17,heater_bed,25.42
2024-09-10 11:46:19,extruder,25.57
2024-09-10 11:46:19,extruder1,28.91
2024-09-10 11:46:19,extruder2,24.43
2024-09-10 11:46:19,heater_bed,25.42
2024-09-10 11:46:20,extruder,25.59
2024-09-10 11:46:20,extruder1,28.98
2024-09-10 11:46:20,extruder2,24.41
2024-09-10 11:46:20,heater_bed,25.43
2024-09-10 11:46:21,extruder,25.56
2024-09-10 11:46:21,extruder1,29.02
2024-09-10 11:46:21,extruder2,24.41
2024-09-10 11:46:21,heater_bed,25.44
2024-09-10 11:46:22,extruder,25.57
2024-09-10 11:46:22,extruder1,29.09
2024-09-10 11:46:22,extruder2,24.39
2024-09-10 11:46:22,heater_bed,25.44
2024-09-10 11:46:24,extruder,25.6
2024-09-10 11:46:24,extruder1,29.15
2024-09-10 11:46:24,extruder2,24.41
2024-09-10 11:46:24,heater_bed,25.43
2024-09-10 11:46:25,extruder,25.58
2024-09-10 11:46:25,extruder1,29.23
2024-09-10 11:46:25,extruder2,24.41
2024-09-10 11:46:25,heater_bed,25.44
2024-09-10 11:46:26,extruder,25.59
2024-09-10 11:46:26,extruder1,29.3
2024-09-10 11:46:26,extruder2,24.44
2024-09-10 11:46:26,heater_bed,25.44
2024-09-10 11:46:27,extruder,25.57
2024-09-10 11:46:27,extruder1,29.37
2024-09-10 11:46:27,extruder2,24.43
2024-09-10 11:46:27,heater_bed,25.42
2024-09-10 11:46:29,extruder,25.58
2024-09-10 11:46:29,extruder1,29.44
2024-09-10 11:46:29,extruder2,24.42
2024-09-10 11:46:29,heater_bed,25.43
2024-09-10 11:46:30,extruder,25.58
2024-09-10 11:46:30,extruder1,29.54
2024-09-10 11:46:30,extruder2,24.43
2024-09-10 11:46:30,heater_bed,25.43
2024-09-10 11:46:31,extruder,25.6
2024-09-10 11:46:31,extruder1,29.59
2024-09-10 11:46:31,extruder2,24.42
2024-09-10 11:46:31,heater_bed,25.42
2024-09-10 11:46:33,extruder,25.58
2024-09-10 11:46:33,extruder1,29.65
2024-09-10 11:46:33,extruder2,24.4
2024-09-10 11:46:33,heater_bed,25.41
2024-09-10 11:46:34,extruder,25.58
2024-09-10 11:46:34,extruder1,29.71
2024-09-10 11:46:34,extruder2,24.44
2024-09-10 11:46:34,heater_bed,25.41
2024-09-10 11:46:35,extruder,25.57
2024-09-10 11:46:35,extruder1,29.78
2024-09-10 11:46:35,extruder2,24.44
2024-09-10 11:46:35,heater_bed,25.43
