Timestamp,Sensor,Temperature
2024-09-10 11:47:49,extruder,25.57
2024-09-10 11:47:49,extruder1,30.62
2024-09-10 11:47:49,extruder2,24.42
2024-09-10 11:47:49,heater_bed,25.47
2024-09-10 11:47:51,extruder,25.58
2024-09-10 11:47:51,extruder1,30.66
2024-09-10 11:47:51,extruder2,24.42
2024-09-10 11:47:51,heater_bed,25.46
2024-09-10 11:47:52,extruder,25.59
2024-09-10 11:47:52,extruder1,30.73
2024-09-10 11:47:52,extruder2,24.44
2024-09-10 11:47:52,heater_bed,25.46
2024-09-10 11:47:53,extruder,25.59
2024-09-10 11:47:53,extruder1,30.76
2024-09-10 11:47:53,extruder2,24.43
2024-09-10 11:47:53,heater_bed,25.45
2024-09-10 11:47:54,extruder,25.57
2024-09-10 11:47:54,extruder1,30.82
2024-09-10 11:47:54,extruder2,24.43
2024-09-10 11:47:54,heater_bed,25.46
2024-09-10 11:47:56,extruder,25.58
2024-09-10 11:47:56,extruder1,30.87
2024-09-10 11:47:56,extruder2,24.43
2024-09-10 11:47:56,heater_bed,25.46
2024-09-10 11:47:57,extruder,25.61
2024-09-10 11:47:57,extruder1,30.93
2024-09-10 11:47:57,extruder2,24.44
2024-09-10 11:47:57,heater_bed,25.44
2024-09-10 11:47:58,extruder,25.62
2024-09-10 11:47:58,extruder1,30.98
2024-09-10 11:47:58,extruder2,24.42
2024-09-10 11:47:58,heater_bed,25.44
2024-09-10 11:47:59,extruder,25.57
2024-09-10 11:47:59,extruder1,31.04
2024-09-10 11:47:59,extruder2,24.44
2024-09-10 11:47:59,heater_bed,25.46
2024-09-10 11:48:01,extruder,25.59
2024-09-10 11:48:01,extruder1,31.12
2024-09-10 11:48:01,extruder2,24.44
2024-09-10 11:48:01,heater_bed,25.44
2024-09-10 11:48:02,extruder,25.6
2024-09-10 11:48:02,extruder1,31.22
2024-09-10 11:48:02,extruder2,24.43
2024-09-10 11:48:02,heater_bed,25.45
2024-09-10 11:48:03,extruder,25.61
2024-09-10 11:48:03,extruder1,31.31
2024-09-10 11:48:03,extruder2,24.41
2024-09-10 11:48:03,heater_bed,25.45
2024-09-10 11:48:04,extruder,25.59
2024-09-10 11:48:04,extruder1,31.44
2024-09-10 11:48:04,extruder2,24.44
2024-09-10 11:48:04,heater_bed,25.45
2024-09-10 11:48:06,extruder,25.6
2024-09-10 11:48:06,extruder1,31.57
2024-09-10 11:48:06,extruder2,24.43
2024-09-10 11:48:06,heater_bed,25.45
2024-09-10 11:48:07,extruder,25.58
2024-09-10 11:48:07,extruder1,31.74
2024-09-10 11:48:07,extruder2,24.42
2024-09-10 11:48:07,heater_bed,25.45
2024-09-10 11:48:08,extruder,25.56
2024-09-10 11:48:08,extruder1,31.88
2024-09-10 11:48:08,extruder2,24.43
2024-09-10 11:48:08,heater_bed,25.46
2024-09-10 11:48:10,extruder,25.61
2024-09-10 11:48:10,extruder1,32.04
2024-09-10 11:48:10,extruder2,24.41
2024-09-10 11:48:10,heater_bed,25.45
2024-09-10 11:48:11,extruder,25.6
2024-09-10 11:48:11,extruder1,32.28
2024-09-10 11:48:11,extruder2,24.41
2024-09-10 11:48:11,heater_bed,25.47
2024-09-10 11:48:12,extruder,25.59
2024-09-10 11:48:12,extruder1,32.45
2024-09-10 11:48:12,extruder2,24.41
2024-09-10 11:48:12,heater_bed,25.47
2024-09-10 11:48:13,extruder,25.59
2024-09-10 11:48:13,extruder1,32.61
2024-09-10 11:48:13,extruder2,24.42
2024-09-10 11:48:13,heater_bed,25.47
2024-09-10 11:48:15,extruder,25.59
2024-09-10 11:48:15,extruder1,32.76
2024-09-10 11:48:15,extruder2,24.44
2024-09-10 11:48:15,heater_bed,25.45
2024-09-10 11:48:16,extruder,25.58
2024-09-10 11:48:16,extruder1,32.92
2024-09-10 11:48:16,extruder2,24.44
2024-09-10 11:48:16,heater_bed,25.46
2024-09-10 11:48:17,extruder,25.58
2024-09-10 11:48:17,extruder1,33.12
2024-09-10 11:48:17,extruder2,24.42
2024-09-10 11:48:17,heater_bed,25.46
2024-09-10 11:48:18,extruder,25.58
2024-09-10 11:48:18,extruder1,33.43
2024-09-10 11:48:18,extruder2,24.43
2024-09-10 11:48:18,heater_bed,25.46
2024-09-10 11:48:20,extruder,25.56
2024-09-10 11:48:20,extruder1,33.72
2024-09-10 11:48:20,extruder2,24.44
2024-09-10 11:48:20,heater_bed,25.45
2024-09-10 11:48:21,extruder,25.58
2024-09-10 11:48:21,extruder1,34.0
2024-09-10 11:48:21,extruder2,24.45
2024-09-10 11:48:21,heater_bed,25.48
2024-09-10 11:48:22,extruder,25.57
2024-09-10 11:48:22,extruder1,34.26
2024-09-10 11:48:22,extruder2,24.45
2024-09-10 11:48:22,heater_bed,25.44
2024-09-10 11:48:23,extruder,25.59
2024-09-10 11:48:23,extruder1,34.58
2024-09-10 11:48:23,extruder2,24.46
2024-09-10 11:48:23,heater_bed,25.45
2024-09-10 11:48:25,extruder,25.57
2024-09-10 11:48:25,extruder1,34.9
2024-09-10 11:48:25,extruder2,24.47
2024-09-10 11:48:25,heater_bed,25.45
2024-09-10 11:48:26,extruder,25.57
2024-09-10 11:48:26,extruder1,35.32
2024-09-10 11:48:26,extruder2,24.45
2024-09-10 11:48:26,heater_bed,25.46
2024-09-10 11:48:27,extruder,25.57
2024-09-10 11:48:27,extruder1,35.66
2024-09-10 11:48:27,extruder2,24.45
2024-09-10 11:48:27,heater_bed,25.45
2024-09-10 11:48:28,extruder,25.57
2024-09-10 11:48:28,extruder1,35.99
2024-09-10 11:48:28,extruder2,24.44
2024-09-10 11:48:28,heater_bed,25.45
2024-09-10 11:48:30,extruder,25.56
2024-09-10 11:48:30,extruder1,36.32
2024-09-10 11:48:30,extruder2,24.46
2024-09-10 11:48:30,heater_bed,25.46
2024-09-10 11:48:31,extruder,25.57
2024-09-10 11:48:31,extruder1,36.66
2024-09-10 11:48:31,extruder2,24.45
2024-09-10 11:48:31,heater_bed,25.46
2024-09-10 11:48:32,extruder,25.58
2024-09-10 11:48:32,extruder1,37.04
2024-09-10 11:48:32,extruder2,24.44
2024-09-10 11:48:32,heater_bed,25.46
2024-09-10 11:48:33,extruder,25.59
2024-09-10 11:48:33,extruder1,37.35
2024-09-10 11:48:33,extruder2,24.46
2024-09-10 11:48:33,heater_bed,25.48
2024-09-10 11:48:35,extruder,25.6
2024-09-10 11:48:35,extruder1,37.67
2024-09-10 11:48:35,extruder2,24.46
2024-09-10 11:48:35,heater_bed,25.48
2024-09-10 11:48:36,extruder,25.59
2024-09-10 11:48:36,extruder1,37.96
2024-09-10 11:48:36,extruder2,24.45
2024-09-10 11:48:36,heater_bed,25.47
2024-09-10 11:48:37,extruder,25.56
2024-09-10 11:48:37,extruder1,38.26
2024-09-10 11:48:37,extruder2,24.44
2024-09-10 11:48:37,heater_bed,25.46
2024-09-10 11:48:38,extruder,25.58
2024-09-10 11:48:38,extruder1,38.53
2024-09-10 11:48:38,extruder2,24.46
2024-09-10 11:48:38,heater_bed,25.48
2024-09-10 11:48:40,extruder,25.57
2024-09-10 11:48:40,extruder1,38.85
2024-09-10 11:48:40,extruder2,24.46
2024-09-10 11:48:40,heater_bed,25.46
2024-09-10 11:48:41,extruder,25.59
2024-09-10 11:48:41,extruder1,39.08
2024-09-10 11:48:41,extruder2,24.43
2024-09-10 11:48:41,heater_bed,25.47
2024-09-10 11:48:42,extruder,25.59
2024-09-10 11:48:42,extruder1,39.32
2024-09-10 11:48:42,extruder2,24.43
2024-09-10 11:48:42,heater_bed,25.46
2024-09-10 11:48:43,extruder,25.58
2024-09-10 11:48:43,extruder1,39.53
2024-09-10 11:48:43,extruder2,24.43
2024-09-10 11:48:43,heater_bed,25.45
2024-09-10 11:48:45,extruder,25.56
2024-09-10 11:48:45,extruder1,39.77
2024-09-10 11:48:45,extruder2,24.42
2024-09-10 11:48:45,heater_bed,25.46
2024-09-10 11:48:46,extruder,25.58
2024-09-10 11:48:46,extruder1,40.02
2024-09-10 11:48:46,extruder2,24.44
2024-09-10 11:48:46,heater_bed,25.45
2024-09-10 11:48:47,extruder,25.56
2024-09-10 11:48:47,extruder1,40.22
2024-09-10 11:48:47,extruder2,24.46
2024-09-10 11:48:47,heater_bed,25.46
2024-09-10 11:48:48,extruder,25.57
2024-09-10 11:48:48,extruder1,40.46
2024-09-10 11:48:48,extruder2,24.47
2024-09-10 11:48:48,heater_bed,25.45
2024-09-10 11:48:50,extruder,25.59
2024-09-10 11:48:50,extruder1,40.7
2024-09-10 11:48:50,extruder2,24.47
2024-09-10 11:48:50,heater_bed,25.46
2024-09-10 11:48:51,extruder,25.6
2024-09-10 11:48:51,extruder1,40.93
2024-09-10 11:48:51,extruder2,24.46
2024-09-10 11:48:51,heater_bed,25.47
2024-09-10 11:48:52,extruder,25.59
2024-09-10 11:48:52,extruder1,41.14
2024-09-10 11:48:52,extruder2,24.46
2024-09-10 11:48:52,heater_bed,25.49
2024-09-10 11:48:53,extruder,25.57
2024-09-10 11:48:53,extruder1,41.35
2024-09-10 11:48:53,extruder2,24.45
2024-09-10 11:48:53,heater_bed,25.47
2024-09-10 11:48:55,extruder,25.55
2024-09-10 11:48:55,extruder1,41.51
